,摄影师,标题,简介,相机,镜头,照片数据,流量,赞数,评论数,光圈,ISO,快门速度,快门速度(毫秒)
970,梅九九nine,公子如玉，世无双,人像写真古风汉服帅大众组我要上“首页推荐位”,Canon EOS 6D,Canon EF 50mm f/1.2L USM,"f/1.8, 1/500s, ISO500",826.0,19.0,0.0,1.8,500,1/500s,2.0
972,karasy影雀,,人像少女光影色彩,SONY ILCE-7M3,,"f/1.4, 1/1600s, ISO100",658.0,16.0,0.0,1.4,100,1/1600s,0.625
975,银盐浆果,雨后的 阳光散落,校园摄影师这样拍糖水人像小组我要上开屏高颜值女神聚集地人像爱好者对短发姑娘没有任何抵抗力！分享神仙颜值Cosplay摄影集中地我们都爱日系摄影拍女友才是正经事色彩人像女孩大自然夏季肖像漂亮的时尚连衣裙,FUJIFILM X-T20,,"f/2.0, 1/240s, ISO200",1762.0,41.0,0.0,2.0,200,1/240s,4.166666666666667
977,赖先生is,vip区 蝶梦,杭州摄影爱好者时尚写真古装,Canon EOS 6D,Canon EF 50mm f/1.8 STM,"f/1.8, 1/125s, ISO100",962.0,23.0,4.0,1.8,100,1/125s,8.0
978,墨渲,"📷：摄影师Crystal
出镜：本人
《镜》",私房镜情绪,Canon EOS 6D,Canon EF 24-70mm f/2.8L USM,"f/3.2, 1/160s, ISO1600",686.0,12.0,1.0,3.2,1600,1/160s,6.25
980,Knight265,,人文手机美食风光日系Cosplay私房教程萌宠,Canon EOS 5D Mark IV,Canon EF 24-70mm f/4L IS USM,"f/4.0, 1/200s, ISO100",704.0,14.0,0.0,4.0,100,1/200s,5.0
981,文艺天少,"飘飘裙袂绕空间，梦想飞天望世寰。六欲七情神羽化，千年修炼静柔娴。
又尝试了新的风格感觉
出镜：沫小七
摄影及后期：天少",色彩人像少女小清新佳能情绪光影剑三古风Cosplay摄影集中地,,Canon EF 50mm f/1.2L USM,"f/1.4, 1/160s, ISO500",2150.0,60.0,2.0,1.4,500,1/160s,6.25
983,森语Studio丨阿龙,“鸟屿浮云”,人像写真精选写真人像摄影时尚,Canon EOS 5D Mark IV,Canon EF 24-70mm f/4L IS USM,"f/4.0, 1/160s, ISO125",1069.0,21.0,2.0,4.0,125,1/160s,6.25
984,ZLingling,"海岛日系写真|一起看海吧🌊

等太阳温暖整个世界每一件角落的时候，这个夏天我们一起去看海吧。",日系集写真人像摄影人像女孩日系海边夏天写真汕头抓拍,Canon EOS 6D Mark II,Canon EF 50mm f/1.2L USM,"f/4.0, 1/400s, ISO200",3639.0,110.0,3.0,4.0,200,1/400s,2.5
986,洛基Rocky,"绣球花part1
出镜：陆舟铭",让摄影穿破次元壁我们都爱日系摄影Alphastyle糖水人像小组高颜值女神聚集地人像上海约拍汉服国风胶片写真花女孩,SONY ILCE-7M3,FE 24-70mm F2.8 GM,"f/2.8, 1/400s, ISO100",939.0,22.0,0.0,2.8,100,1/400s,2.5
987,不是山谷317,,写真人像摄影分享神仙颜值人像爱好者胶片集对短发姑娘没有任何抵抗力！一个风光摄影圈时尚杂志摄影圈子高颜值女神聚集地人像写真精选时尚私房连衣裙服装模型魅力长袍肖像女孩成人,Canon EOS 6D,Canon EF 24-70mm f/2.8L USM,"f/5.0, 1/125s, ISO125",1255.0,24.0,2.0,5.0,125,1/125s,8.0
989,文艺天少,"#亡国祸水##长沙约拍##cosplay#
亡国祸水 洛天依 乐正绫
出镜：阿瓷 座敷
摄影及后期：天少",Cosplay摄影集中地古风人像色彩小清新情绪光影少女,Canon EOS 5D Mark IV,Canon EF 50mm f/1.2L USM,"f/1.4, 1/200s, ISO400",1619.0,34.0,2.0,1.4,400,1/200s,5.0
990,south南方南,"👭
法式少女写真预告

📷@south南方南",暖色调人像少女少女写真复古写真写真约拍郴州约拍广州约拍长沙约拍人像女孩摄影,Nikon D800,AF-S Zoom-Nikkor 24-70mm f/2.8G ED,"f/2.8, 1/200s, ISO640",820.0,18.0,0.0,2.8,640,1/200s,5.0
991,陆子游-,"摄影：@陆子游
出境：@楚淇淇淇",人像写真色彩合肥约拍昆明约拍,Canon EOS 5D Mark IV,Canon EF 24-70mm f/2.8L II USM,"f/2.8, 1/160s, ISO160",1550.0,34.0,2.0,2.8,160,1/160s,6.25
999,陈张翔啦,,写真少女温柔复古,Canon EOS 5D Mark III,Canon EF 85mm f/1.2L II USM,"f/2.2, 1/125s, ISO160",873.0,28.0,3.0,2.2,160,1/125s,8.0
1000,absinthe艾酒,龙贞德,Cosplay摄影集中地人像Cosplay特效尼康场照日系少女美女,Nikon D750,AF-S Nikkor 28mm f/1.8G,"f/4.0, 1/125s, ISO100",3541.0,65.0,5.0,4.0,100,1/125s,8.0
1006,_鹿蔓,樱花树下的野餐💕,大自然樱花野餐唯美人像写真小清新清新日系纽约约拍高颜值女神聚集地广州摄影圈公园寻记生活小确幸深圳小清新摄影小组写真人像摄影人像写真精选日系集唯美人像摄影人像写真馆,Canon EOS 6D,Canon EF 50mm f/1.4 USM,"f/1.4, 1/4000s, ISO2000",2558.0,58.0,2.0,1.4,2000,1/4000s,0.25
1007,cecilaHCHC,,人像时尚色彩,Canon EOS 5D Mark IV,Canon EF 24-70mm f/2.8L II USM,"f/2.8, 1/25s, ISO1000",1656.0,41.0,4.0,2.8,1000,1/25s,40.0
1008,文艺天少,"出镜：黑川
摄影及后期：天少",色彩人像少女佳能情绪光影私房,Canon EOS 5D Mark IV,Canon EF 50mm f/1.2L USM,"f/1.6, 1/50s, ISO320",7314.0,307.0,7.0,1.6,320,1/50s,20.0
1010,吴垚昕育,coser系列动作连拍，后期调色,第五届镜头中的中国年色彩人像街拍抓拍美女后期胶片写真,Canon EOS 6D Mark II,Canon EF 50mm f/1.2L USM,"f/1.2, 1/1600s, ISO200",889.0,19.0,0.0,1.2,200,1/1600s,0.625
1014,文艺天少,"出镜：修老虎
摄影及后期：天少",人像佳能小清新少女日系JK制服JK制服,,Canon EF 50mm f/1.2L USM,"f/1.2, 1/125s, ISO1600",10235.0,241.0,13.0,1.2,1600,1/125s,8.0
1018,7seven摄影陈成,"There is no road in life, every step counts
人生没有白走的路，每一步都算数。",暖色调人像人像写真馆人像时尚服装年轻色彩肖像,Canon EOS 5D Mark IV,Canon EF 85mm f/1.8 USM,"f/8.0, 1/125s, ISO100",1177.0,22.0,4.0,8.0,100,1/125s,8.0
1023,闪闪欧尼酱,关注微博@闪闪PHOTO,人像胶片少女小清新日系情绪旅行海边JK复古,Canon EOS 6D,Canon EF 135mm f/2L USM,"f/2.8, 1/500s, ISO800",1099.0,31.0,2.0,2.8,800,1/500s,2.0
1024,heatherdear,少女系写真,度假就要去海滩海滩女孩写真少女人像,Canon EOS 5D Mark III,Canon EF 24-70mm f/2.8L II USM,"f/7.1, 1/400s, ISO100",1328.0,30.0,1.0,7.1,100,1/400s,2.5
1026,摄影师-Q,艺术照｜既然我天生笨拙，那我就用坚定来守护。,像极了爱情写真人像摄影暖色调人像有温度的人像约拍馆摄影作品投稿生活小确幸婚礼与写真人像写真馆肖像漂亮的写真艺术照复古时尚现代的,Canon EOS 5D Mark III,Canon EF 70-200mm f/2.8L IS II USM,"f/7.1, 1/125s, ISO400",938.0,16.0,0.0,7.1,400,1/125s,8.0
1029,尹薇_,手机📱拍摄,人像爱好者美女人像群胶片集对短发姑娘没有任何抵抗力！人像写真精选写真人像摄影胶片人像摄影有温度的人像分享神仙颜值唯美人像摄影“星视界”手机摄影挑战漂亮的时尚开心的,Apple iPhone 7 Plus,,"f/2.8, 1/141s, ISO20",1433.0,24.0,2.0,2.8,20,1/141s,7.092198581560283
1030,TeacherXu_须老师,"荒草丛生
📷：FUJIFILM XT3",写真人像摄影冷色调人像胶片集富士Fujifilm圈子人像写真悲伤女孩脸时尚富士,FUJIFILM X-T3,XF18-55mmF2.8-4 R LM OIS,"f/4.0, 1/25s, ISO320",1808.0,41.0,1.0,4.0,320,1/25s,40.0
1031,GDER9,盐于律己 甜以待人,日系日系私房胶片私房人像,Canon EOS 5D Mark III,Canon EF 24-70mm f/4L IS USM,"f/4.5, 1/60s, ISO2500",3463.0,78.0,3.0,4.5,2500,1/60s,16.666666666666668
1032,--西瓜汁er--,活得自由，活得放肆。,有温度的人像人像爱好者美女人像群云浮木摄影课堂人像摄影集人像写真精选写真人像摄影拍女友才是正经事人像情绪在室内房间女孩时尚七日摄影打卡计划,Canon EOS 6D,Canon EF 50mm f/1.4 USM,"f/1.4, 1/100s, ISO100",1591.0,32.0,2.0,1.4,100,1/100s,10.0
1033,阿木木baby,做一个温柔的法式少女💐,糖水人像小组分享神仙颜值唯美人像摄影人像摄影集美女人像群人像写真精选写真人像摄影高颜值女神聚集地暖色调人像漂亮的时尚女孩人像可爱在室内,Canon EOS 6D Mark II,Canon EF 50mm f/1.4 USM,"f/2.8, 1/500s, ISO800",35906.0,1042.0,48.0,2.8,800,1/500s,2.0
1043,云雅Yoona,,人像少女旋转木马,Canon EOS 5D Mark III,Canon EF 24-70mm f/2.8L II USM,"f/2.8, 1/1000s, ISO100",1136.0,20.0,1.0,2.8,100,1/1000s,1.0
1046,Color卡拉,模特：Tako,人像私房,SONY ILCE-7RM3,,"f/2.2, 1/60s, ISO100",19895.0,419.0,13.0,2.2,100,1/60s,16.666666666666668
1047,一树风,随意拍的一些,“遇见春天”摄影小赛色彩人像抓拍佳能花摄影美女情绪写真光,Canon EOS 5D Mark III,Canon EF 35mm f/1.4L II USM,"f/2.5, 1/1250s, ISO100",3277.0,99.0,4.0,2.5,100,1/1250s,0.8
1048,小樊在认真学习,花色四合,中国手机摄影肖像丝绸男性在室内时尚服装,Nikon D5600,AF-S DX Nikkor 18-140mm f/3.5-5.6G ED VR,"f/5.0, 1/60s, ISO100",946.0,21.0,2.0,5.0,100,1/60s,16.666666666666668
1049,摄影师曹宇,一组比较直男审美的片子，感谢模特烯烙。,高颜值女神聚集地对短发姑娘没有任何抵抗力！拍女友才是正经事性感的时尚女孩人像私房写真色彩日系复古胶片,Canon EOS 6D,Canon EF 24-70mm f/2.8L USM,"f/9.0, 1/125s, ISO200",5778.0,97.0,5.0,9.0,200,1/125s,8.0
1050,花花草草2020,花后郁金香,我们都是城市探险家手机尼康建筑街拍旅行风光美女纪实人像,Nikon D700,AF-S VR Zoom-Nikkor 70-200mm f/2.8G IF-ED,"f/5.6, 1/1000s, ISO200",1227.0,25.0,3.0,5.6,200,1/1000s,1.0
1052,纽约丽人西西女士,摄影对我来说就是有趣的灵魂互相碰撞💥,写真人像摄影异国风光情报站深圳青年摄影圈有温度的人像高颜值女神聚集地索尼器材党暖色调人像分享神仙颜值东欧系人像我要上“首页推荐位”表情服装模型肖像色彩女人成人纽约写真时尚相框配饰时尚配饰,SONY ILCE-7M3,,"f/2.0, 1/100s, ISO1000",985.0,18.0,1.0,2.0,1000,1/100s,10.0
1054,梦呓410,建水行,风景花鸟摄影圈铁路摄影圈子风光旅行建水小火车小贵湖日系小清新建水风光,Nikon D7100,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,"f/6.3, 1/500s, ISO100",1098.0,26.0,2.0,6.3,100,1/500s,2.0
1056,蕉蕉_JIAO,胭脂落,周末好时光索尼器材党古风摄影研习社集宁师范学院摄影圈人像教程城市美女后期古风汉服红色灯笼乌海,SONY ILCE-7M3,SIGMA 35mm F1.4 DG HSM | Art 012,"f/1.4, 1/160s, ISO100",1360.0,32.0,3.0,1.4,100,1/160s,6.25
1058,摄影师溪洋小强,我的世界总有光,高颜值女神聚集地成都约拍圈子人像写真约拍复古性感魅力,Canon EOS 5D Mark IV,35mm F1.4 DG HSM | Art 012,"f/2.0, 1/200s, ISO800",1257.0,26.0,2.0,2.0,800,1/200s,5.0
1059,圆脸鹊斑,少女写真｜成都约拍｜复古写真,人像写真精选时尚马超·胶片滤镜女孩胶片复古在室内人像房间写真,Canon EOS 6D,SIGMA 35mm f/1.4 DG HSM or SIGMA 35mm f/1.5 FF High-Speed Prime | 017,"f/1.6, 1/200s, ISO1000",1718.0,36.0,2.0,1.6,1000,1/200s,5.0
1061,钻石夫人柯拉,美 是知识 敏感和想象力,人像写真精选写真人像摄影高颜值女神聚集地拍女友才是正经事图虫旅行摄影圈子人像写真馆我们都是城市探险家带我看看，你的城市每人推荐一个旅行目的地分享决定性瞬间时尚服装旅行胶片在室内色彩,Canon EOS 5D Mark III,Canon EF 24-70mm f/2.8L II USM,"f/2.8, 1/50s, ISO800",897.0,19.0,1.0,2.8,800,1/50s,20.0
1063,斗斗斗斗,"#何泓姗#
何时的那一抹绿
摄影/斗",极简主义，少即是多时尚人像色彩,Canon EOS 5D Mark IV,Canon EF 24-70mm f/2.8L USM,"f/9.0, 1/160s, ISO250",1276.0,28.0,1.0,9.0,250,1/160s,6.25
1067,深受动植物喜爱的人参,大魔术喵—林间魔女,我要上“首页推荐位”拍女友才是正经事福建摄影圈人像爱好者糖水人像小组高颜值女神聚集地我要上开屏分享神仙颜值让摄影穿破次元壁图虫开屏等你来占写真人像lolita洛丽塔少女森林魔女可爱,Canon EOS M50,Canon EF 85mm f/1.8 USM,"f/2.0, 1/160s, ISO250",1391.0,26.0,3.0,2.0,250,1/160s,6.25
1070,Lily爱米尔,,唯美人像摄影人像爱好者分享神仙颜值人像写真精选高颜值女神聚集地时尚杂志摄影圈子暖色调人像写真人像摄影时尚肖像服装面纱,Canon EOS 6D,Canon EF 70-200mm f/2.8L IS II USM,"f/5.6, 1/125s, ISO100",1045.0,21.0,1.0,5.6,100,1/125s,8.0
1075,一枝圆,与温柔并肩,石家庄人像摄影圈人像写真馆我爱人像摄影高颜值女神聚集地河北摄影圈糖水人像小组日系旅摄写真集人像抓拍油画日系胶片少女旅行连衣裙草坪单人婚纱复古美女夏季,Canon EOS 60D,Canon EF 50mm f/1.8 STM,"f/2.2, 1/2000s, ISO160",878.0,34.0,2.0,2.2,160,1/2000s,0.5
1076,克林233,我梦见，我在一个发光的森林里奔跑。,写真人像摄影人像爱好者美女人像群冷色调人像冷人像人像写真女生色彩,Canon EOS 80D,Canon EF 50mm f/1.8 STM,"f/2.2, 1/200s, ISO125",1292.0,26.0,0.0,2.2,125,1/200s,5.0
1080,一昂良,,高颜值女神聚集地写真人像摄影有温度的人像人像爱好者人像写真精选色彩人像抓拍女人佳能少女小清新,Canon EOS 5D Mark III,Canon EF 24-105mm f/4L IS USM,"f/4.0, 1/100s, ISO200",1817.0,46.0,0.0,4.0,200,1/100s,10.0
1082,大树sonara,". ☪︎* ☁. . * ✰ .· ☁

“ 我喜欢你呆萌的蠢样子，不希望岁月让你有太多的感慨，不想要经历在你心里刻下沟壑。 ”",我们都爱日系摄影分享神仙颜值有温度的人像少女人像私房,Canon EOS 800D,Canon EF 50mm f/1.8 STM,"f/11.0, 1/1250s, ISO6400",2228.0,30.0,5.0,11.0,6400,1/1250s,0.8
1083,练昕晨,心执一念| 樾见岁月韶华,有温度的人像胶片集古风摄影研习社暖色调人像胶片色彩女孩中国风时尚摄影摄影模特人像情绪,Canon EOS 5D Mark IV,Canon EF 24-70mm f/2.8L II USM,"f/11.0, 1/125s, ISO125",2098.0,39.0,2.0,11.0,125,1/125s,8.0
1087,亚希777,少女前线 G11,Cosplay摄影集中地中国手机摄影Cosplay动漫约拍,Canon EOS 6D Mark II,,"f/2.5, 1/400s, ISO800",1196.0,25.0,0.0,2.5,800,1/400s,2.5
1090,HUTO,五年前的片子,时尚女孩坐坐在漂亮的美丽年轻人像女人纪实色彩汽车颓废颓废派胶片,Canon EOS 70D,Canon EF-S 18-135mm f/3.5-5.6 IS STM,"f/5.0, 1/100s, ISO500",1296.0,23.0,1.0,5.0,500,1/100s,10.0
1091,上善雅烟,,广州摄影交流圈广州约拍圈子高颜值女神聚集地花都汉服广州约拍写真摄影宾得花都摄影少女婚纱钢琴胶片复古,,,"f/2.2, 1/125s, ISO800",1028.0,25.0,0.0,2.2,800,1/125s,8.0
1093,三千斤,鱼归海滨，我归你。,福建摄影圈写真女孩人像,Canon EOS 80D,Canon EF-S 18-200mm f/3.5-5.6 IS,"f/5.6, 1/3200s, ISO800",2756.0,28.0,2.0,5.6,800,1/3200s,0.3125
1100,林朵大王,,高颜值女神聚集地春天的歌糖水人像小组图虫旅行摄影圈子人像写真馆生活小确幸2020新影像大赛人像旅行胶片风光复古少女婚纱喜欢妳2020新影像大赛——你好生活,Canon EOS 5D Mark III,Canon EF 50mm f/1.4 USM,"f/2.8, 1/320s, ISO125",1301.0,25.0,0.0,2.8,125,1/320s,3.125
1101,笑女侠也,"如梦。

摄/笑女侠也",情绪光影少女慵懒写真柔美人像浪漫梦幻分享神仙颜值写真人像摄影美女人像群情感人像摄影有温度的人像暖色调人像人像摄影集高颜值女神聚集地拍女友才是正经事,SONY ILCE-7RM2,,"f/2.2, 1/320s, ISO100",25715.0,646.0,35.0,2.2,100,1/320s,3.125
1106,J小成,粉红霸王~,写真人像摄影人像写真精选年轻时尚,SONY ILCE-7M3,FE 16-35mm F4 ZA,"f/4.0, 1/40s, ISO250",1203.0,25.0,3.0,4.0,250,1/40s,25.0
1107,摄影师Dee,,人像写真精选时尚魅力女孩肖像,Canon EOS 5D Mark IV,Canon EF 70-200mm f/2.8L IS II USM,"f/4.5, 1/100s, ISO100",1150.0,25.0,3.0,4.5,100,1/100s,10.0
1109,常雨祥,"永远屈服于温柔

摄影：常雨祥",高颜值女神聚集地我在西安拍照分享神仙颜值人像写真精选美女人像群写真人像摄影暖色调人像胶片人像摄影对短发姑娘没有任何抵抗力！杭州人像摄影交流日系长凳鞋类位置坐在肖像女孩女人胶片少女日系写真西安约拍风光色彩人像服装时尚坐,,Canon EF 50mm f/1.8 STM,"f/1.8, 1/800s, ISO100",897.0,21.0,0.0,1.8,100,1/800s,1.25
1110,华华笑哭你,,高颜值女神聚集地深圳小清新摄影小组糖水人像小组拍女友才是正经事婚礼纪实摄影俱乐部晒出你梦中的婚礼时尚婚姻面纱婚礼新娘的新娘,,,"f/6.3, 1/125s, ISO100",11082.0,270.0,12.0,6.3,100,1/125s,8.0
1112,文艺天少,"出镜：小蝎
摄影及后期：天少",洛丽塔风尚色彩人像少女小清新佳能情绪lolita,,Canon EF 50mm f/1.2L USM,"f/1.4, 1/160s, ISO500",1586.0,43.0,1.0,1.4,500,1/160s,6.25
1115,倩小鱼zizi,"集合了这两年春天，与绣球的拍摄。 

／@倩小鱼zizi",“遇见春天”摄影小赛色彩人像胶片植物花美女自然儿童少女,Nikon D750,AF Zoom-Nikkor 80-200mm f/2.8D ED,"f/3.2, 1/1000s, ISO125",969.0,23.0,0.0,3.2,125,1/1000s,1.0
1119,TEKKER,Boa 廣州車展 2019,车模人像美女女人,Canon EOS 6D Mark II,SIGMA 85mm F1.4 DG HSM | Art 016,"f/1.4, 1/400s, ISO100",2112.0,74.0,1.0,1.4,100,1/400s,2.5
1132,陆子游-,"摄影：@陆子游
出境：@甜蜜亲亲",色彩人像写真约拍昆明约拍合肥约拍旅行,Canon EOS 5D Mark IV,Canon EF 24-70mm f/2.8L II USM,"f/2.8, 1/40s, ISO160",1540.0,37.0,1.0,2.8,160,1/40s,25.0
1133,fusust,厉害了，靓女们,人像纪实篮球美女,Canon EOS 6D Mark II,Canon EF 70-200mm f/4L USM,"f/4.0, 1/125s, ISO4000",1669.0,33.0,1.0,4.0,4000,1/125s,8.0
1138,Airst,向着阳光却徘徊不前,我要上开屏人像写真馆日系·静物·美食初夏将至少女人像索尼情绪日系镜子,SONY ILCE-7RM3,SIGMA 85mm F1.4 DG HSM | Art 016,"f/1.8, 1/1250s, ISO100",1726.0,27.0,3.0,1.8,100,1/1250s,0.8
1140,摄影师-刘先森,"#南京约拍#

不愿长大的人  总在一瞬间长大
👧：易橙雪
📷：摄影师-刘先森

#南京约拍##Lolita#",洛丽塔风尚日系集人文纪实手册人像爱好者图虫旅行摄影圈子暖色调人像我们都爱日系摄影写真人像摄影高颜值女神聚集地晒晒旅行打卡照美少女洛丽塔lolita美写真,Canon EOS 6D Mark II,Canon EF 85mm f/1.8 USM,"f/3.2, 1/320s, ISO100",1617.0,29.0,4.0,3.2,100,1/320s,3.125
1143,FLETCHERhao,拿照相机就是我的生活。,人像写真精选时尚,Canon EOS 5D Mark III,Canon EF 85mm f/1.8 USM,"f/8.0, 1/125s, ISO160",1093.0,24.0,6.0,8.0,160,1/125s,8.0
1145,人如薄荷天然凉丶,,“遇见春天”摄影小赛写真成都约拍复古人像佳能胶片成都约拍圈子成都人像爱好者,Canon EOS 5D Mark IV,Canon EF 85mm f/1.8 USM,"f/2.8, 1/2500s, ISO100",640.0,15.0,0.0,2.8,100,1/2500s,0.4
1148,茄子Nasu,"一个普通的午后...
摄/出镜:自己",拍男友才是正经事日系集人像爱好者我们都爱日系摄影分享神仙颜值我们都爱极简摄影人像写真摄影约拍胶片私房日系床光影午后人像情绪写真,Canon EOS 5D Mark IV,16-35mm f/2.8L III USM,"f/2.8, 1/640s, ISO100",1393.0,35.0,1.0,2.8,100,1/640s,1.5625
1151,游墨病人,油画少女,人像阳光光影美女少女油画,Canon EOS 5D Mark III,Canon EF 135mm f/2L USM,"f/2.2, 1/320s, ISO100",898.0,21.0,1.0,2.2,100,1/320s,3.125
1155,moretta,一组旅拍,美女复古文艺人像情绪唯美水下旅行,SONY ILCE-7RM3,,"f/2.8, 1/320s, ISO80",5240.0,115.0,3.0,2.8,80,1/320s,3.125
1159,Ding老鸭,"如果累了
那就出来走一走吧
重逢旧时光，重逢经典
也重逢自己",纯粹黑白圈子拍女友才是正经事写真人像摄影校园摄影师这样拍四川传媒学院摄影圈四川传媒学院摄影小组成都人像爱好者我们都爱黑白摄影索尼器材党成都约拍圈子时尚女孩肖像黑白,SONY ILCE-7RM3,FE 24-70mm F2.8 GM,"f/2.8, 1/200s, ISO100",1383.0,39.0,5.0,2.8,100,1/200s,5.0
1161,猫格分裂,室内闺蜜婚纱怎么拍类~可可爱爱,人像纪实美女在室内艺术私房女神性感,Canon EOS 6D Mark II,Canon EF 24-105mm f/4L IS USM,"f/4.0, 1/60s, ISO100",1484.0,29.0,2.0,4.0,100,1/60s,16.666666666666668
1164,ZAC苏阳,素衣染尽天香，玉酒添成国色。,知识进补日系集人像写真精选生活小确幸你的决定性瞬间人像胶片轻婚纱森系新娘佳能情绪小清新,Canon EOS 5D Mark IV,Canon EF 85mm f/1.4L IS USM,"f/2.5, 1/2500s, ISO100",1142.0,25.0,1.0,2.5,100,1/2500s,0.4
1167,摄影师四毛,,年轻肖像时尚色彩女孩儿童摄影抓拍,Canon EOS 6D Mark II,35mm F1.4 DG HSM | Art 012,"f/4.0, 1/160s, ISO250",1138.0,31.0,4.0,4.0,250,1/160s,6.25
1172,阿宁下凡辛苦了,🈲,人像爱好者时尚女孩魅力性感的,Apple iPhone X,,"f/2.2, 1/17s, ISO250",1451.0,26.0,4.0,2.2,250,1/17s,58.8235294117647
1173,摄影师-刘先森,"#南京约拍#长沙约拍##合肥约拍#
港风人像  
📷：自己",晒晒旅行打卡照高颜值女神聚集地写真人像摄影图虫旅行摄影圈子暖色调人像我们都爱日系摄影分享神仙颜值校园摄影师这样拍日系集情绪港风性感写真,Canon EOS 6D Mark II,35mm F1.4 DG HSM | Art 012,"f/1.4, 1/80s, ISO500",1066.0,26.0,1.0,1.4,500,1/80s,12.5
1174,老威威,,色彩人像富士中画幅GFX50Rtankshanghai美女,FUJIFILM GFX 50R,,"f/2.8, 1/600s, ISO100",8204.0,228.0,21.0,2.8,100,1/600s,1.6666666666666667
1178,陶菀瑞,拍了一张我妈妈,暖色调人像高颜值女神聚集地人像爱好者日系集成都人像爱好者成都约拍圈子人像摄影集绝不停止记录的2019分享神仙颜值周末好时光人像妈妈妹摄成都复古写真摄影内江重庆,SONY ILCE-7RM3,Canon EF 85mm f/1.4L IS USM,"f/1.4, 1/2500s, ISO100",2168.0,57.0,9.0,1.4,100,1/2500s,0.4
1181,关大宝,"少年～
我还是曾经那个少年，没有一丝丝改变...",马超·胶片滤镜女孩时尚,FUJIFILM X-T2,,"f/2.8, 1/4000s, ISO200",1250.0,22.0,2.0,2.8,200,1/4000s,0.25
1183,酷酷的蜻蜓,"制造之外｜深圳站

每一份创造都有一份意外之美",胶片人像摄影人像胶片时尚肖像,Canon EOS 60D,Canon EF 50mm f/1.8 II,"f/2.0, 1/60s, ISO400",925.0,23.0,4.0,2.0,400,1/60s,16.666666666666668
1185,一闪一闪满天星,你还爱我吗？,魅力性感的脸时尚肖像眼女孩,Apple iPhone 8 Plus,,"f/2.2, 1/17s, ISO640",979.0,23.0,2.0,2.2,640,1/17s,58.8235294117647
1186,大脸肥鱼仔,星球,风光摄影圈中国地理摄影少女色彩冷调,Canon EOS M6,Canon EF 50mm f/1.8 STM,"f/2.8, 1/1600s, ISO100",1099.0,21.0,2.0,2.8,100,1/1600s,0.625
1189,空想家484,"《1stLook》｜海盐系男孩
-
📷空想家_fairy

场地 苏州Tommy coffee",写真人像摄影有温度的人像江苏摄影俱乐部杂志风书架色彩苏州日系写真潮男生人像咖啡格子,Canon EOS 5D Mark IV,Canon EF 50mm f/1.4 USM,"f/5.0, 1/100s, ISO640",906.0,23.0,0.0,5.0,640,1/100s,10.0
1190,生阳_,Lali,人像写真精选写真人像摄影尼康“无限创想季”时尚,,,"f/10.0, 1/200s, ISO100",707.0,16.0,0.0,10.0,100,1/200s,5.0
1191,端着小黑Cablack,去公园玩的时候拍的，嘿嘿嘿,“遇见春天”摄影小赛人像写真JK甜美妹子少女写真JK制服人像写真精选糖水人像小组我们都爱日系摄影重庆人像圈子高颜值女神聚集地拍女友才是正经事唯美人像摄影分享神仙颜值写真人像摄影Cosplay摄影集中地,SONY ILCE-6500,,"f/1.4, 1/125s, ISO100",1127.0,28.0,0.0,1.4,100,1/125s,8.0
1192,百万伏特我丘,合肥车展 模特：朱格清柳,暖色调人像朱格清柳合肥合肥车展合肥滨湖国际会展中心国际会展中心抓拍人女人美女人像汽车的汽车展览会现代韩国车模模特车展,Canon EOS 5D Mark II,Canon EF 100-400mm f/4.5-5.6L IS USM,"f/4.5, 1/250s, ISO1600",1746.0,36.0,2.0,4.5,1600,1/250s,4.0
1194,默默思量,留住青春，锁住岁月,2020新影像大赛睛典纪实组人像色彩少女青春纯色2020新影像大赛——众生相,Canon EOS 6D,Canon EF 24-70mm f/4L IS USM,"f/9.0, 1/125s, ISO100",1667.0,23.0,1.0,9.0,100,1/125s,8.0
1195,小巴适,少女与4月的绣球花海,少女绣球,SONY ILCE-6000,SIGMA 30mm F1.4 DC DN | C,"f/9.0, 1/160s, ISO100",1494.0,27.0,2.0,9.0,100,1/160s,6.25
1197,摄影师丶阿志,"摄影：阿志
妆面：玲桑",色彩人像胶片少女日系抓拍,Canon EOS 5D Mark III,Canon EF 24-70mm f/2.8L II USM,"f/2.8, 1/125s, ISO200",1278.0,24.0,1.0,2.8,200,1/125s,8.0
1198,Photo顧,"春日里的法式浪漫
复古是唯一不会褪色的美

妆发｜COLOUR 秋
摄影｜G-Visual Arts 
服饰｜COLOUR时尚新娘

微博🧣: Photo_Gu 喜欢的小伙伴可以关注一下呀",暖色调人像高颜值女神聚集地写真人像摄影取景器里的小美好江南大学摄影圈美女人像群复古人像服装时尚肖像胶片,Canon EOS-1D X Mark II,Canon EF 50mm f/1.2L USM,"f/1.4, 1/125s, ISO320",2747.0,97.0,8.0,1.4,320,1/125s,8.0
1200,影像惜语,,人像写真精选写真人像摄影女孩漂亮的连衣裙魅力时尚人像森林长发美女长裙,Nikon D750,AF-S Zoom-Nikkor 24-70mm f/2.8G ED,"f/2.8, 1/250s, ISO100",1937.0,71.0,3.0,2.8,100,1/250s,4.0
